sigma3,eps1,sig1,eps3
1.5,0.0279,16.9621363,-0.061969161
1.5,0.0282,16.82431558,-0.062661566
1.5,0.0285,16.69076616,-0.063353393
1.5,0.0288,16.56131448,-0.064044651
1.5,0.0291,16.43579567,-0.064735345
1.5,0.0294,16.31405298,-0.065425482
1.5,0.0297,16.19593737,-0.066115068
2,0,2,0
2,0.0003,15.03332781,-1.54E-06
2,0.0006,28.05397754,-1.23E-05
2,0.0009,41.01573903,-4.15E-05
2,0.0012,53.82279188,-9.84E-05
2,0.0015,66.32144125,-0.000192108
2,0.0018,78.2989308,-0.000331962
2,0.0021,89.49138139,-0.000527144
2,0.0024,99.60254223,-0.000786874
2,0.0027,108.3330805,-0.001120373
2,0.003,115.4169962,-0.001536862
2,0.0033,120.6585218,-0.002045564
2,0.0036,123.9611723,-0.002655698
2,0.0039,125.3417353,-0.003376487
2,0.0042,125.059681,-0.004181197
2,0.0045,123.641942,-0.00498531
2,0.0048,121.3137161,-0.005785074
2,0.0051,118.2810924,-0.006580787
2,0.0054,114.7343017,-0.00737271
2,0.0057,110.8402041,-0.008161075
2,0.006,106.7390287,-0.008946087
2,0.0063,102.5442672,-0.009727931
2,0.0066,98.34460662,-0.010506772
2,0.0069,94.20696094,-0.01128276
2,0.0072,90.17991325,-0.012056031
2,0.0075,86.29711822,-0.01282671
2,0.0078,82.58040693,-0.013594911
2,0.0081,79.04247481,-0.014360738
2,0.0084,75.68912228,-0.015124288
2,0.0087,72.52106992,-0.015885649
2,0.009,69.53539562,-0.016644906
2,0.0093,66.72665113,-0.017402135
2,0.0096,64.08771492,-0.018157408
2,0.0099,61.61043343,-0.018910793
2,0.0102,59.28609555,-0.019662351
2,0.0105,57.10577766,-0.020412142
2,0.0108,55.06058939,-0.021160222
2,0.0111,53.1418442,-0.021906642
2,0.0114,51.34117353,-0.022651453
2,0.0117,49.65059912,-0.0233947
2,0.012,48.06257469,-0.024136428
2,0.0123,46.57000543,-0.024876678
2,0.0126,45.16625175,-0.02561549
2,0.0129,43.84512201,-0.026352902
2,0.0132,42.60085799,-0.027088949
2,0.0135,41.42811542,-0.027823665
2,0.0138,40.32194181,-0.028557084
2,0.0141,39.27775276,-0.029289235
2,0.0144,38.29130778,-0.030020149
2,0.0147,37.35868643,-0.030749854
2,0.015,36.47626501,-0.031478377
2,0.0153,35.64069431,-0.032205745
2,0.0156,34.84887857,-0.032931981
2,0.0159,34.09795565,-0.033657109
2,0.0162,33.38527853,-0.034381154
2,0.0165,32.70839818,-0.035104137
2,0.0168,32.06504761,-0.035826078
2,0.0171,31.45312724,-0.036547
2,0.0174,30.87069141,-0.03726692
2,0.0177,30.31593592,-0.037985858
2,0.018,29.78718673,-0.038703833
2,0.0183,29.28288942,-0.039420863
2,0.0186,28.80159971,-0.040136963
2,0.0189,28.34197468,-0.040852151
2,0.0192,27.90276473,-0.041566442
2,0.0195,27.48280627,-0.042279853
2,0.0198,27.08101503,-0.042992397
2,0.0201,26.69637986,-0.04370409
2,0.0204,26.32795713,-0.044414944
2,0.0207,25.97486558,-0.045124975
2,0.021,25.63628162,-0.045834194
2,0.0213,25.31143494,-0.046542616
2,0.0216,24.99960459,-0.047250251
2,0.0219,24.70011534,-0.047957112
2,0.0222,24.41233431,-0.048663211
2,0.0225,24.13566792,-0.049368559
2,0.0228,23.86955904,-0.050073167
2,0.0231,23.61348445,-0.050777045
2,0.0234,23.36695237,-0.051480205
2,0.0237,23.12950034,-0.052182656
2,0.024,22.90069315,-0.052884408
2,0.0243,22.68012096,-0.053585471
2,0.0246,22.46739761,-0.054285854
2,0.0249,22.26215901,-0.054985566
2,0.0252,22.06406166,-0.055684616
2,0.0255,21.87278129,-0.056383013
2,0.0258,21.68801164,-0.057080765
2,0.0261,21.50946322,-0.05777788
2,0.0264,21.33686231,-0.058474367
2,0.0267,21.16994989,-0.059170234
2,0.027,21.00848077,-0.059865487
2,0.0273,20.85222268,-0.060560135
2,0.0276,20.70095549,-0.061254184
2,0.0279,20.55447047,-0.061947643
2,0.0282,20.4125696,-0.062640517
2,0.0285,20.2750649,-0.063332815
2,0.0288,20.14177785,-0.064024541
2,0.0291,20.01253884,-0.064715704
2,0.0294,19.88718662,-0.065406309
2,0.0297,19.76556782,-0.066096363
2.5,0,2.5,0
2.5,0.0003,15.83309134,-1.51E-06
2.5,0.0006,29.15367285,-1.20E-05
2.5,0.0009,42.41614262,-4.06E-05
2.5,0.0012,55.52590706,-9.64E-05
2.5,0.0015,68.331105,-0.000188184
2.5,0.0018,80.62115169,-0.000325181
2.5,0.0021,92.13406458,-0.000516376
2.5,0.0024,102.5742532,-0.0007708
2.5,0.0027,111.6406604,-0.001097487
2.5,0.003,119.0621931,-0.001505469
2.5,0.0033,124.6342576,-0.00200378
2.5,0.0036,128.2484125,-0.002601451
2.5,0.0039,129.907953,-0.003307516
2.5,0.0042,129.821142,-0.004107416
2.5,0.0045,128.5562068,-0.004912205
2.5,0.0048,126.3576198,-0.00571264
2.5,0.0051,123.4288611,-0.006509019
2.5,0.0054,119.9596608,-0.007301605
2.5,0.0057,116.1180135,-0.008090629
2.5,0.006,112.0463915,-0.008876297
2.5,0.0063,107.8611588,-0.009658793
2.5,0.0066,103.6541167,-0.010438283
2.5,0.0069,99.49525929,-0.011214917
2.5,0.0072,95.43603735,-0.011988832
2.5,0.0075,91.51266248,-0.012760152
2.5,0.0078,87.74917207,-0.013528991
2.5,0.0081,84.16011594,-0.014295454
2.5,0.0084,80.7528192,-0.015059637
2.5,0.0087,77.52923195,-0.01582163
2.5,0.009,74.48740578,-0.016581516
2.5,0.0093,71.6226497,-0.017339372
2.5,0.0096,68.92841973,-0.01809527
2.5,0.0099,66.39699299,-0.018849277
2.5,0.0102,64.01997057,-0.019601456
2.5,0.0105,61.78864647,-0.020351867
2.5,0.0108,59.69427341,-0.021100564
