sig3,eps1,sig1,eps3
15,0.015435876,171.8337261,-0.005893165
15,0.016123909,170.0057496,-0.006581199
15,0.016697271,166.8753399,-0.007269233
15,0.017270632,164.0191266,-0.007957266
15,0.017843993,160.9115666,-0.0086453
15,0.018084805,157.4841107,-0.009333333
15,0.018360019,153.7824583,-0.010021367
15,0.018589363,149.7380604,-0.010709401
15,0.018818708,145.5565642,-0.011397434
15,0.019048052,141.5121662,-0.012085468
15,0.019277397,137.33067,-0.012773501
15,0.019506741,133.0806247,-0.013461535
15,0.019781955,128.7483204,-0.014149568
15,0.020358592,125.4814653,-0.014837602
15,0.020768136,123.2781008,-0.0154683
15,0.021398834,123.2552511,-0.016041661
15,0.022086867,124.5348346,-0.016672358
15,0.022774901,125.128927,-0.017360392
15,0.023462934,125.5859211,-0.018048425
15,0.024093632,125.9515164,-0.018736459
20,0.000127129,23.6949964,-0.000159552
20,0.000241801,27.85364289,-0.000159552
20,0.000241801,31.14400056,-0.000159552
20,0.000299137,33.47467057,-0.000216888
20,0.000385141,37.99891236,-0.000216888
20,0.000528481,42.38605592,-0.000216888
20,0.000585818,45.95061005,-0.000216888
20,0.000662266,50.33775361,-0.000216888
20,0.00070049,60.53786237,-0.000216888
20,0.000776938,55.54748658,-0.000245556
20,0.001006283,65.96695252,-0.000308626
20,0.001159179,70.90248902,-0.000388897
20,0.001273851,76.04367287,-0.000423298
20,0.001411458,80.9380799,-0.000446233
20,0.001464972,86.53168793,-0.000503569
20,0.001617868,92.15271561,-0.000503569
20,0.001755475,96.95115387,-0.000503569
20,0.001870147,102.2157261,-0.000522681
20,0.002019221,107.8733133,-0.000522681
20,0.002158466,113.7163096,-0.000522681
20,0.002237098,119.1062288,-0.000522681
20,0.002363238,124.0966046,-0.000599129
20,0.00247791,129.5805341,-0.000618241
20,0.002617155,135.1428054,-0.000618241
20,0.002707254,141.2338841,-0.000618241
20,0.002821927,146.8549118,-0.000732913
20,0.002902197,152.3388412,-0.000732913
20,0.002993935,160.5647354,-0.000732913
20,0.003022603,157.3429269,-0.000732913
20,0.003185056,164.4491854,-0.000732913
20,0.00322328,169.4761208,-0.000752026
20,0.003299728,174.6401543,-0.000767315
20,0.003452624,180.4439796,-0.00079025
20,0.003529072,185.2424179,-0.000828474
20,0.003643745,190.909145,-0.000962258
20,0.003796641,195.6618838,-0.00099666
20,0.003911313,200.5974203,-0.001019594
20,0.00404892,206.0265105,-0.001052358
20,0.004169326,211.2225336,-0.001057818
20,0.00425533,215.7696251,-0.00107693
20,0.004370002,220.0653699,-0.00107693
20,0.004484675,223.9955193,-0.001134266
20,0.004542011,227.4686746,-0.001134266
20,0.004714019,231.7872691,-0.001134266
20,0.005115372,235.4660717,-0.001162934
20,0.005402053,238.3451347,-0.001248939
20,0.005574061,241.1784982,-0.001306275
20,0.005860742,244.92585,-0.001306275
20,0.006376767,248.4904041,-0.001330847
20,0.007064801,251.3237677,-0.001363611
20,0.007752834,253.0146459,-0.001401835
